CID;Nome do CID;Frequência;Significado Completo;Comorbidades Relacionadas
Z93.9;Não encontrado;1;;6E40.2 - Traços de personalidade ou estilos de enfrentamento afetando transtornos ou doenças classificados em outra parte (1x) | 8B24 - Encefalopatia hipóxico-isquêmica (1x)
6E40.2;Traços de personalidade ou estilos de enfrentamento afetando transtornos ou doenças classificados em outra parte;1;"Todos os critérios diagnósticos para fatores psicológicos ou comportamentais afetando transtornos ou doenças classificados em outra parte são preenchidos. O indivíduo apresenta traços de personalidade ou estilos de enfrentamento que não preenchem critérios diagnósticos para um transtorno mental, comportamental ou do neurodesenvolvimento, que afetam de forma adversa a manifestação, o tratamento ou curso de um transtorno ou doença classificado em outro capítulo (p.ex., negação patológica da necessidade de cirurgia em um paciente com câncer; comportamento hostil e tenso contribuindo para doença cardíaca).";Z93.9 - N/A (1x) | 8B24 - Encefalopatia hipóxico-isquêmica (1x)
CA08.1;Rinite não alérgica;1;Rinite não alérgica é uma inflamação da mucosa nasal em que mecanismos alérgicos não estão envolvidos. Essa condição inclui vários fenótipos diferentes.;CA08.01 - Rinite alérgica devida a outros alérgenos sazonais (1x) | NA00 - Traumatismo superficial da cabeça (1x) | AA91.2 - Outra otite média crônica supurativa (1x)
NA00;Traumatismo superficial da cabeça;1;Danos causados ​​na superfície ou nos tecidos superficiais da cabeça como resultado direto ou indireto de uma força externa, com ou sem interrupção da continuidade estrutural.;CA08.01 - Rinite alérgica devida a outros alérgenos sazonais (1x) | CA08.1 - Rinite não alérgica (1x) | AA91.2 - Outra otite média crônica supurativa (1x)
CA08.01;Rinite alérgica devida a outros alérgenos sazonais;1;Refere-se a inflamações alérgicas das vias aéreas nasais provocadas por outros alérgenos, além de pólen e ácaro da poeira doméstica, em pacientes com sensibilização múltipla ou como parte de condição complexa, como alergia a látex. Caracteriza-se, clinicamente, pelos seguintes sintomas: espirros, prurido nasal, coriza e obstrução nasal. Ocorre quando um alérgeno, como pelo de animal (partículas de pele descamada ou cabelo), inseto (partículas do corpo de baratas), ou partículas fúngicas, é inalado por indivíduo com o sistema imune sensibilizado.;NA00 - Traumatismo superficial da cabeça (1x) | CA08.1 - Rinite não alérgica (1x) | AA91.2 - Outra otite média crônica supurativa (1x)
8A61.9;Não encontrado;1;;CB05.41 - Transtornos respiratórios na poliangeíte microscópica (1x)
NC93.8;Traumatismo de estruturas múltiplas do joelho;1;;NC92.0 - Fratura da patela (1x)
BB00.3;Não encontrado;1;;R05.9 - N/A (1x) | 9.0 - N/A (1x) | MB29.0 - Alimentação seletiva ou restritiva (1x)
MB29.0;Alimentação seletiva ou restritiva;1;Aceitação apenas de uma dieta limitada, que pode ser definida pela composição alimentar ou por características sensoriais dos alimentos, que é inconsistente com as normas culturais ou subculturais.;R05.9 - N/A (1x) | 9.0 - N/A (1x) | BB00.3 - N/A (1x)
1B41.2;Miocardite reumática aguda;1;Miocardite reumática aguda é uma inflamação cardíaca associada à febre reumática aguda desencadeada por uma reação autoimune à infecção por estreptococos do Grupo A, resultando em pancardite envolvendo inflamação do miocárdio, endocárdio e epicárdio, geralmente com envolvimento valvar do lado esquerdo.;3A51.8 - Hemoglobina de baixa afinidade (1x) | NE82.1Y - Outra disfunção especificada do marcapasso ou cardioversor desfibrilador implantável (1x)
3A51.8;Hemoglobina de baixa afinidade;1;Doença causada por determinantes que surgem após o nascimento, no período pré-natal, ou por fatores geneticamente herdados, levando à formação de hemoglobina com baixa afinidade pelo oxigênio. Essa doença é caracterizada por anormalidades das cadeias de globina que alteram a afinidade da molécula de hemoglobina pelo oxigênio, prejudicando o carregamento normal de oxigênio aos pulmões e a oferta de oxigênio aos tecidos. Essa doença pode apresentar-se com fadiga, fraqueza muscular, perda de apetite, perda de peso, diarreia, náusea, taquicardia, ou dormência de extremidades.;1B41.2 - Miocardite reumática aguda (1x) | NE82.1Y - Outra disfunção especificada do marcapasso ou cardioversor desfibrilador implantável (1x)
9C40.A0;Papiledema;1;Edema de disco óptico que resulta da pressão intracraniana aumentada.;FA26.1 - Doença por deposição de hidroxiapatita (1x) | EB31 - Eritema nodoso (1x)
BB10;Não encontrado;1;;9e+20 - N/A (1x) | MF95 - Mioglobinúria (1x) | 5C78 - Sobrecarga de líquidos (1x)
40000000000.0;Não encontrado;1;;9e+20 - N/A (1x) | MF95 - Mioglobinúria (1x) | 5C78 - Sobrecarga de líquidos (1x)
9e+20;Não encontrado;1;;MF95 - Mioglobinúria (1x) | 5C78 - Sobrecarga de líquidos (1x) | 40000000000.0 - N/A (1x)
XD7EC8;Unidades de pressão positiva contínua nas vias aéreas (CPAP);1;;
ME62.3;exantema maculopapular agudo;1;Diagnóstico provisório de erupção cutânea de natureza desconhecida ou incerta que surge abruptamente e que consiste em múltiplas máculas e pápulas. Infecções virais e medicamentos são precipitantes comuns.;FA38.1 - Artropatia neuropática (1x) | NA23.4Z - Distensão ou entorse da coluna cervical, não especificado (1x)
MB23.0;Comportamento agressivo;1;Ações com a intenção de ameaçar ou machucar outra pessoa ou danificar propriedade, que podem ser de natureza física, verbal ou simbólica (p.ex., agir contra os interesses da outra pessoa). O comportamento agressivo pode ser apropriado para autoproteção, ou inapropriado, hostil e destrutivo.;ND56.Z - Traumatismo de região não especificada do corpo, não especificado (1x) | MC23.H - N/A (1x) | MB22.7 - Cansaço (1x)
ND56.Z;Traumatismo de região não especificada do corpo, não especificado;1;;MB23.0 - Comportamento agressivo (1x) | MC23.H - N/A (1x) | MB22.7 - Cansaço (1x)
NA02.0;Fratura da caixa craniana;1;;GB50 - Nefrite túbulo-intersticial aguda (1x)
BCRNF;Não encontrado;1;;5C78 - Sobrecarga de líquidos (1x)
5.4;Não encontrado;1;;BC43.6 - Cardiomiopatia ventricular arritmogênica (1x) | VV3Z - Funções dos sistemas cardiovascular, hematológico, imunológico e respiratório, não especificadas (1x)
4e+81;Não encontrado;1;;9A94.1 - Síndrome da íris flácida (1x) | QA77 - Medicação ou substância que se sabe que está contraindicada para o paciente sem lesão ou dano (1x) | QA02.8 - Observação por suspeita de alergia ou hipersensibilidade, descartada (1x)
9C61.2Y;Outro glaucoma secundário de ângulo aberto, especificado;1;;9A94.1 - Síndrome da íris flácida (1x) | QA77 - Medicação ou substância que se sabe que está contraindicada para o paciente sem lesão ou dano (1x) | QA02.8 - Observação por suspeita de alergia ou hipersensibilidade, descartada (1x)
FA;Não encontrado;1;;5A00.20 - Hipotireoidismo devido a medicamentos ou outras substâncias exógenas (1x)
L40;Não encontrado;1;;
NA23.4Z;Distensão ou entorse da coluna cervical, não especificado;1;;FA38.1 - Artropatia neuropática (1x) | ME62.3 - exantema maculopapular agudo (1x)
5e+45;Não encontrado;1;;
MB49;Aura;1;Sintomas visuais e/ou sensoriais reversíveis antes de uma convulsão (alguns segundos) ou de uma crise de enxaqueca com aura (20 minutos);4A80.Y - Outros transtornos alérgicos ou de hipersensibilidade especificados envolvendo o trato respiratório (1x) | MF95 - Mioglobinúria (1x)
4A80.Y;Outros transtornos alérgicos ou de hipersensibilidade especificados envolvendo o trato respiratório;1;;MF95 - Mioglobinúria (1x) | MB49 - Aura (1x)
2A72.3;Não encontrado;1;;
BD73;Anormalidade venosa sistêmica adquirida;1;Alteração patológica pós-natal na forma ou função de uma veia sistêmica.;ED90.0 - Rosácea (1x)
BE14;Transtorno pós procedimento do sistema circulatório subsequente a reparo de cardiopatia congênita ou de anomalia de grande vaso;1;;BC42.2 - Miocardite por hipersensibilidade (1x) | BC43.1 - Cardiomiopatia hipertrófica (1x) | BC81.30 - Fibrilação atrial paroxística (1x)
MB47.0;Reflexos anormais;1;;FA80.0 - Degeneração de disco intervertebral da coluna cervical, sem prolapso de disco (1x) | FA80.8 - Degeneração de disco intervertebral da coluna lombar sem prolapso de disco (1x) | MG30.31 - Dor musculoesquelética secundária crônica associada a alterações estruturais (1x)
FA80.0;Degeneração de disco intervertebral da coluna cervical, sem prolapso de disco;1;Esta é uma doença caracterizada por alterações degenerativas no disco intervertebral e nos platôs vertebrais, sem prolapso do disco intervertebral.;FA80.8 - Degeneração de disco intervertebral da coluna lombar sem prolapso de disco (1x) | MB47.0 - Reflexos anormais (1x) | MG30.31 - Dor musculoesquelética secundária crônica associada a alterações estruturais (1x)
MG71;Resultados laboratoriais anormais, não classificados em outra parte;1;;BD52.71 - Dilatação adquirida da aorta ascendente ou da raiz (1x)
1F2L.0;Adiaspiromicose disseminada;1;Infecção fulminante cada vez mais relatada causada por Emmonsia e espécies de fungos semelhantes a Emmonsia. É observada no contexto de imunossupressão profunda, especialmente na infecção por HIV. Isso contrasta com a adiaspiromicose pulmonar, que também é causada por espécies de Emmonsia, mas tipicamente afeta indivíduos imunocompetentes. Sua apresentação clínica é semelhante à de histoplasmose e blastomicose. O envolvimento de pele e pulmões é característico, mas o SNC e o sangue também podem ser afetados.;
QB51.Y;Presença de outros dispositivos especificados que não implantes cardíacos ou vasculares;1;;BD53.4 - Ateroembolismo de colesterol (1x) | QA02.8 - Observação por suspeita de alergia ou hipersensibilidade, descartada (1x) | CA22.0 - Doença pulmonar obstrutiva crônica com exacerbação aguda, não especificada (1x)
ND93.4;Queimadura de períneo ou genitália, lesão mais profunda ou queimadura complexa;1;;
QA80;Não administração de um medicamento necessário sem lesão ou dano;1;;EK00.C - Dermatite alérgica de contato devida a medicamentos tópicos (1x) | EK10.0 - Síndrome de alergia oral (1x) | EF40 - Vasculite ou capilarite envolvendo a pele (1x)
DA90.0;Diarreia sindrômica;1;Diarreia sindrômica, também conhecida como diarreia fenotípica ou síndrome trico-hepato-entérica, é uma enteropatia congênita que se apresenta com início precoce de diarreia grave exigindo uso de nutrição parenteral (NP), associada a dismorfismo facial, cabelo lanoso e pouco pigmentado, e doença hepática, com fibrose ou cirrose extensa, em cerca de metade dos pacientes.;EK00.C - Dermatite alérgica de contato devida a medicamentos tópicos (1x) | EK10.0 - Síndrome de alergia oral (1x) | EF40 - Vasculite ou capilarite envolvendo a pele (1x)
EK10.0;Síndrome de alergia oral;1;Reação imune imediata tipo I mediada pelo IgE, limitada aos lábios, cavidade oral, língua e orofaringe, causada pelo contato direto com alérgeno do paciente sensibilizado. Os sintomas incluem inchaço da mucosa, prurido ou sensação de queimação.;EK00.C - Dermatite alérgica de contato devida a medicamentos tópicos (1x) | EF40 - Vasculite ou capilarite envolvendo a pele (1x) | DA90.0 - Diarreia sindrômica (1x)
EB70.9;Não encontrado;1;;FA39.8 - N/A (1x)
DD53;Hérnia umbilical;1;Uma hérnia ocorre quando parte de um órgão interno protunde através de uma área fraca do músculo. Uma hérnia umbilical é uma protrusão de peritônio e fluido, omento ou uma porção de órgão(s) abdominal(s) através do anel umbilical. O anel umbilical é o tecido fibroso e muscular ao redor do umbigo. Hérnias pequenas geralmente fecham espontaneamente sem tratamento aos 1 ou 2 anos de idade. As hérnias umbilicais geralmente são indolores e são comuns em lactentes.;
BB72.0;Estenose aórtica reumática com insuficiência;1;A estenose aórtica por cardiopatia reumática crônica tipicamente está associada à insuficiência aórtica. As comissuras e cúspides da válvula tornam-se aderentes e fundidas, e o orifício da valva torna-se pequeno. Na ausculta, S2 pode ser única porque os folhetos aórticos estão imóveis e não produzem um som de fechamento aórtico;MG30.31 - Dor musculoesquelética secundária crônica associada a alterações estruturais (1x) | ME62.7 - Erupção cutânea descamativa aguda (1x) | FA38.2 - Artropatia associada a reações de hipersensibilidade classificadas em outra parte (1x)
9A78.6;Anestesia da córnea;1;Esta é a condição de ter a sensação (incluindo a sensação de dor) bloqueada ou temporariamente abolida da parte frontal transparente do olho que cobre a íris, a pupila e a câmara anterior.;8D60.1 - Edema cerebral (1x) | 9B02.0 - Pupila de Argyll Robertson (1x) | 9B01.1 - Pupilas parassimpatoparéticas (1x)
FB32.4;Contratura muscular;1;;BA99.0 - N/A (1x)
BA99.0;Não encontrado;1;;FB32.4 - Contratura muscular (1x)
FA33;Transtorno interno do joelho;1;"Transtorno interno do joelho (TIJ) é uma condição crônica do joelho devido à lesão, ruptura ou transtorno do menisco do joelho, ou ruptura parcial ou completa dos ligamentos cruzados, com ou sem lesão do ligamento capsular, que resulta em um processo contínuo ou intermitente de sinais e sintomas como dor, instabilidade ou mobilidade anormal do joelho.

Nas situações em que o transtorno é causado por trauma, deverá ser utilizado o código de ""Lesões, envenenamentos ou algumas outras consequências de causas externas"", independentemente do tempo decorrido desde a lesão.";FA26.2 - Condrocalcinose (1x)
EB12.1;Eritema multiforme mucocutâneo;1;Eritema multiforme com envolvimento da mucosas, geralmente de mucosas orais e/ou genitais. Causa significativamente mais morbidade do que o eritema multiforme confinado à pele.;FA25.20 - Gota tofácea (1x) | 3A71.2 - Anemia na doença renal crônica (1x) | BA02 - Doença renal hipertensiva (1x)
ME86;Sintoma ou queixa de uma parte do corpo;1;;
LA00.00;Craniorraquisquise;1;Condição causada pela falha do fechamento completo do tubo neural durante o período pré-natal. Esta condição é caracterizada por ausência completa do crânio, defeitos extensos nas vértebras e pele e ausência do cérebro.;
BC80.2;Disfunção do nó sinusal;1;Termo inespecífico que se refere a anormalidades na formação e propagação do impulso do nó sinusal e inclui bradicardia sinusal, pausa/parada sinusal, incompetência cronotrópica e bloqueio de saída sinoatrial.;
ICD-11/13: Mitral valve insufficiency, mild/moderate;Não encontrado;1;;3B61.1 - Trombofilia adquirida (1x)
MB21.2;Anosognosia;1;Falta de consciência ou falha em reconhecer a própria doença, sintomas ou déficits funcionais, sendo isso considerado parte do quadro clínico.;ME08 - Flatulência e afecções correlatas (1x)
GB00.0;Hidrocele encistada;1;Afecção do testículo, causada por inflamação de epidídimo testicular, obstrução dos sistemas venoso ou linfático através do cordão ou uma anormalidade durante o período pré-natal. Esta afecção é caracterizada por um acúmulo circunscrito de fluido na túnica vaginal testicular ou ao longo do cordão espermático.;BB03.0 - Obstrução venosa pulmonar adquirida (1x)
BB03.0;Obstrução venosa pulmonar adquirida;1;Condição patológica pós-natal de uma ou mais veias pulmonares em que o fluxo é impedido ou bloqueado devido a estreitamento ou atresia.;GB00.0 - Hidrocele encistada (1x)
FB54 | FB54.Z;Não encontrado;1;;
I73.11;Não encontrado;1;;NA05.3 - N/A (1x)
9D42.21;Escotoma arqueado;1;Um escotoma de Bjerrum ou arqueado segue o padrão das fibras nervosas da retina. É típico de defeitos glaucomatosos e pode também ser causado por lesões justapapilares.;9B75.2 - Coriorretinopatia serosa central (1x)
9B75.2;Coriorretinopatia serosa central;1;Doença ocular que causa comprometimento visual, geralmente temporário, geralmente em um dos olhos. Quando o transtorno está ativo, é caracterizado por vazamento de fluido sob a retina, que tem propensão a se acumular sob a mácula central.;9D42.21 - Escotoma arqueado (1x)
MD20;Epistaxe;1;Sangramento nasal;
BE10;Síndrome pós cardiotomia;1;Síndrome pós-cardiotomia é uma reação de hipersensibilidade a antígeno derivado do miocárdio lesado 3 semanas a 2 meses após infarto do miocárdio, cirurgia cardíaca ou lesão cardíaca penetrante e não penetrante. O diagnóstico é feito pelo antecedente de lesão cardíaca e exclusão de outras doenças, como insuficiência cardíaca congestiva, infarto do miocárdio recorrente, endocardite, miocardite e pericardite.;CB21.1 - Outro pneumotórax espontâneo (1x) | 9A94.1 - Síndrome da íris flácida (1x)
MB27.23;Alucinações hipnagógicas;1;Alucinações que ocorrem no início do sono, mais comumente de modalidade visual, tátil ou auditiva.;MG27 - Hemorragia, não classificada em outra parte (1x)
EA90.3;Psoríase eritrodérmica;1;Psoríase eritrodérmica é uma forma inflamatória generalizada grave de psoríase caracterizada por eritema intenso confluente envolvendo mais de 90% da superfície da pele. A psoríase eritrodérmica geralmente se desenvolve a partir da psoríase em placas extensa mas pode surgir de forma nova. Fatores precipitantes ou desencadeantes incluem a retirada de glicocorticoides sistêmicos e, menos frequentemente, a descontinuação abrupta do metotrexato, queimaduras ou infecções intercorrentes. Os pacientes podem desenvolver hipotermia ou insuficiência cardíaca de alto débito.;
ED80.5;Cicatriz de acne;1;Cicatrizes resultantes da acne, variando de leve irregularidade da superfície da pele à distorção altamente desfigurante ou funcionalmente incapacitante da anatomia normal da pele.;
NC56.6;Lesão de múltiplos vasos sanguíneos ao nível do punho ou mão;1;;
6C40.2;Dependência de álcool;1;Dependência de álcool é um transtorno da regulação do uso de álcool que surge do uso repetido ou contínuo do álcool. O elemento característico é um forte impulso interno para usar álcool, que é manifestado por capacidade prejudicada de controlar o uso, aumento da prioridade dada ao uso em detrimento de outras atividades, e persistência do uso apesar de dano ou consequências negativas. Essas experiências são frequentemente acompanhadas de uma sensação subjetiva de urgência ou fissura para usar álcool. Aspectos fisiológicos da dependência também podem estar presentes, incluindo a tolerância aos efeitos do álcool, sintomas de abstinência subsequentes a cessação ou redução no uso de álcool, ou uso repetido do álcool ou substâncias farmacologicamente semelhantes para prevenir ou aliviar os sintomas de abstinência. As manifestações da dependência geralmente são evidentes durante um período de pelo menos 12 meses, mas o diagnóstico pode ser feito se o uso de álcool for contínuo (diário ou quase diário) por pelo menos 3 meses.;60000000000000.0 - N/A (1x) | 8A64 - Crise epiléptica única devida a causas remotas (1x)
60000000000000.0;Não encontrado;1;;6C40.2 - Dependência de álcool (1x) | 8A64 - Crise epiléptica única devida a causas remotas (1x)
EK00.C;Dermatite alérgica de contato devida a medicamentos tópicos;1;Dermatite alérgica de contato devida à exposição a medicamentos tópicos como corticosteroides, antibióticos, antimicóticos, antissépticos, anestésicos locais ou anti-inflamatórios não hormonais.;EK10.0 - Síndrome de alergia oral (1x) | EF40 - Vasculite ou capilarite envolvendo a pele (1x) | DA90.0 - Diarreia sindrômica (1x)
FB15.2;Não encontrado;1;;3B64.1 - Trombocitopenia adquirida (1x) | 2B68 - Neoplasias malignas das glândulas submandibulares ou sublinguais (1x) | NA03.9A - N/A (1x)
BD50.2;Dissecção da aorta descendente e propagação distal;1;Isso ocorre quando uma ruptura na parede interna da aorta faz com que o sangue flua entre as camadas da parede da aorta, forçando a separação das camadas e propagação distal.;
EE13.3;Transtorno ungueal associado a dermatose especificada;1;Anormalidade da lâmina ungueal atribuível a outra doença de pele especificada.;EA91.4 - Líquen plano e reações liquenóides da mucosa oral (1x) | EB31 - Eritema nodoso (1x)
EA91.4;Líquen plano e reações liquenóides da mucosa oral;1;Reações liquenoides orais representam um desfecho comum em resposta a agentes extrínsecos (drogas, alérgenos), autoantígenos alterados ou superantígenos. A apresentação clínica pode variar de estrias reticulares brancas assintomáticas a eritema doloroso e erosões. Envolvimento cutâneo e mucoso de outras localizações é comum. Embora o líquen plano oral seja idiopático por definição, as reações liquenoides orais podem ser causadas por medicamentos ou agentes exógenos, como cinamatos e outros aromatizantes.;EE13.3 - Transtorno ungueal associado a dermatose especificada (1x) | EB31 - Eritema nodoso (1x)
MF51;Anúria ou oligúria;1;"Anúria significa não passagem de urina; na prática, é definida como passagem de menos de 50 mililitros de urina por dia. Oligúria é o baixo débito urinário. É clinicamente classificado como uma produção abaixo de 300-500ml/dia.";6C48.2 - Intoxicação por cafeína (1x) | CB41.20 - Insuficiência respiratória não especificada, Tipo I (1x) | EE40.3 - Fragilidade cutânea (1x)
8C71.5;Pseudomiotonia;1;"O termo pseudomiotonia (relaxamento lento dos músculos após contração voluntária) descreve a aparência clínica da miotonia na ausência de descargas miotônicas na eletromiografia. Pseudomiotonia é mais comumente observada como reflexos tendinosos de relaxamento lento ou ""travados"" de hipotireoidismo, embora outras causas sejam descritas. A pseudomiotonia é observada em cerca de um terço dos pacientes com síndrome de Isaacs, particularmente com preensão manual, mas também após fechamento de olho e mandíbula; raramente, este pode ser o primeiro sintoma.";6C48.2 - Intoxicação por cafeína (1x) | CB41.20 - Insuficiência respiratória não especificada, Tipo I (1x) | EE40.3 - Fragilidade cutânea (1x)
9A01.21;Hordéolo interno;1;Infecção piogênica focal aguda, usualmente causada por Staphylococcus aureus, de uma glândula de Meibomius, com bloqueio da secreção normal desta para o folículo piloso. Apresenta-se como um inchaço inflamatório agudo que pode drenar para a superfície conjuntival da pálpebra, ou raramente anteriormente através da pele palpebral. Pode predispor à formação de calázio.;6C48.2 - Intoxicação por cafeína (1x) | CB41.20 - Insuficiência respiratória não especificada, Tipo I (1x) | EE40.3 - Fragilidade cutânea (1x)
EE40.3;Fragilidade cutânea;1;Fragilidade da pele devida principalmente a anormalidades genéticas ou adquiridas das proteínas da matriz dérmica.;6C48.2 - Intoxicação por cafeína (1x) | CB41.20 - Insuficiência respiratória não especificada, Tipo I (1x) | 9A01.21 - Hordéolo interno (1x)
CB41.20;Insuficiência respiratória não especificada, Tipo I;1;"Esta ocorre quando a PaCO2 pode estar normal ou baixa. É tipicamente causada por um desequilíbrio da relação ventilação/perfusão (V/Q); o volume de ar que entra e sai dos pulmões não se corresponde ao fluxo sanguíneo pulmonar. O defeito básico na insuficiência respiratória tipo 1 é a insuficiência de oxigenação.";6C48.2 - Intoxicação por cafeína (1x) | EE40.3 - Fragilidade cutânea (1x) | 9A01.21 - Hordéolo interno (1x)
MB23.A;Choro excessivo em criança, adolescente ou adulto;1;Episódios de choro por várias horas ao dia em vários dias da semana por várias semanas em uma criança, adolescente ou adulto saudável.;
8B21.Y;Outra doença cerebrovascular sem sintoma agudo cerebral, especificada;1;;GC02.0 - Abscesso uretral (1x) | 8B22 - Algumas doenças cerebrovasculares especificadas (1x) | 9A00.0 - Distopia canthorum (1x)
Z22.7;Não encontrado;1;;MD22 - Hemoptise (1x)
5A45.0;Não encontrado;1;;5A00.2 - Hipotireoidismo adquirido (1x) | GB50 - Nefrite túbulo-intersticial aguda (1x) | NB90.Y - Lesão de outros vasos sanguíneos especificados ao nível do abdome, região lombar ou pelve (1x)
8e+89;Não encontrado;1;;DC12.0 - Colecistite aguda (1x) | MD81 - Dor abdominal ou pélvica (1x) | 8E43.0 - Dor neuropática (1x)
DC12.0;Colecistite aguda;1;Inflamação aguda da parede da vesícula biliar geralmente segue a obstrução do ducto cístico. A inflamação é evocada por fatores inflamatórios mecânicos, químicos, vasculares e bacterianos.;8e+89 - N/A (1x) | MD81 - Dor abdominal ou pélvica (1x) | 8E43.0 - Dor neuropática (1x)
MF82;Glomerulopatia por lipoproteína;1;Trombos de lipoproteína característicos são encontrados no glomérulo nesta doença geneticamente determinada, encontrada principalmente no Leste Asiático.;GB60.0 - Insuficiência renal aguda, estágio 1 (1x) | BA01 - Doença cardíaca hipertensiva (1x) | DD91.2 - Diarreia funcional (1x)
CA02;Faringite aguda;1;Faringite aguda é definida como infecção ou irritação da faringe e/ou das amigdalas e é parte das manifestações do resfriado comum. A etiologia é geralmente infecciosa, sendo a maioria dos casos de origem viral. Embora a infecção viral seja a causa primária, ela também pode ser causada por infecção bacteriana. Desconforto na garganta, dor de garganta e dor para engolir ocorrem com frequência. Cefaleia, fadiga generalizada, dor irradiada para o ouvido e linfadenite cervical também ocorrem. Achados locais evidenciam tonsilas palatinas hiperemiadas e edema dos folículos linfoides da parede posterior da faringe. Pacientes com faringite aguda se apresentam mais comumente com dor de garganta. Vários outros sintomas podem surgir nesses pacientes dependendo dos organismos causadores.;
FB80.8;Ausência de consolidação de fratura;1;;
DD70.1;Doença de Crohn do intestino delgado;1;Doença de Crohn, que é caracterizada por inflamação transmural crônica e recorrente, pode afetar qualquer parte do trato digestivo. Isto se refere à doença de Crohn envolvendo o intestino delgado.;
NC90.9Z;Não encontrado;1;;DD56 - Hernia incisional (1x)
5A0.9A;Não encontrado;1;;EE60.1 - Cicatriz hipertrófica (1x) | ME01 - Distensão abdominal (1x)
BC80 | Descrição: Representação de doença CID-11: Bradiarritmia supraventricular.;Não encontrado;1;;FA80.4 - Degeneração de disco intervertebral da coluna torácica sem prolapso de disco (1x) | 5A00.20 - Hipotireoidismo devido a medicamentos ou outras substâncias exógenas (1x)
FA80.4;Degeneração de disco intervertebral da coluna torácica sem prolapso de disco;1;;5A00.20 - Hipotireoidismo devido a medicamentos ou outras substâncias exógenas (1x) | BC80 | Descrição: Representação de doença CID-11: Bradiarritmia supraventricular. - N/A (1x)
MF02;Não encontrado;1;;DB34.4 - Úlcera retal hemorrágica aguda (1x) | DD57 - Hérnia paraestomal (1x)
DD57;Hérnia paraestomal;1;Hérnia que ocorre através da área paraestomal fragilizada após a abertura do estoma.;DB34.4 - Úlcera retal hemorrágica aguda (1x) | MF02 - N/A (1x)
DB34.4;Úlcera retal hemorrágica aguda;1;Úlcera retal hemorrágica aguda é considerada como um transtorno isquêmico agudo da mucosa, que ocorre em pacientes idosos que sofrem de redução incipiente do fluxo sanguíneo devida a fatores arterioscleróticos. Estes pacientes estão frequentemente acamados, e isso causa uma diminuição no fluxo sanguíneo da mucosa do reto inferior, o que por sua vez desencadeia essa doença.;DD57 - Hérnia paraestomal (1x) | MF02 - N/A (1x)
FA31.0;Deformidade em valgo não classificada em outra parte;1;;GC02.0 - Abscesso uretral (1x) | 8B22 - Algumas doenças cerebrovasculares especificadas (1x) | 9A00.0 - Distopia canthorum (1x)
9A00.0;Distopia canthorum;1;;GC02.0 - Abscesso uretral (1x) | 8B22 - Algumas doenças cerebrovasculares especificadas (1x) | FA31.0 - Deformidade em valgo não classificada em outra parte (1x)
GC02.0;Abscesso uretral;1;Uma afecção da uretra, causada por uma obstrução das glândulas periuretrais, geralmente como resultado de infecções frequentes. Esta afecção é caracterizada por um acúmulo focal de material purulento dentro ou sobre o tecido uretral.;8B22 - Algumas doenças cerebrovasculares especificadas (1x) | 9A00.0 - Distopia canthorum (1x) | FA31.0 - Deformidade em valgo não classificada em outra parte (1x)
FC84.0;Não encontrado;1;;
3B64.1;Trombocitopenia adquirida;1;Doença causa por determinantes que aparecem após o nascimento e que levam a uma baixa contagem de plaquetas. Essa doença é caracterizada por níveis baixos de plaquetas no sangue. Pode apresentar-se com aumento na ocorrência de equimoses ou hemorragias. A confirmação é feita pela identificação de contagem plaquetária baixa em amostra de sangue.;FB15.2 - N/A (1x) | 2B68 - Neoplasias malignas das glândulas submandibulares ou sublinguais (1x) | NA03.9A - N/A (1x)
ME10.1;Icterícia não especificada;1;Manifestação clínica de hiperbilirrubinemia de origem não especificada, caracterizada por coloração amarelada da pele, mucosas e esclera.;1F53.2 - Doença de Chagas crônica com envolvimento cardíaco (1x) | ME01 - Distensão abdominal (1x)
EA91;Líquen plano;1;Líquen plano é uma doença inflamatória de pele e mucosas caracterizada por intensa inflamação na interface entre epiderme/epitélio e derme/cório. Suas manifestações clínicas variam de acordo com a intensidade com que se desenvolve e com a localização de ataque. Na pele, geralmente se apresenta como uma erupção simétrica de pápulas ou placas rosas ou roxas pruriginosas de topo achatado. O envolvimento do couro cabeludo ou da matriz ungueal pode produzir perda permanente de cabelo ou unhas, respectivamente. Embora o envolvimento da membrana mucosa possa ser assintomático, pode causar dor e sofrimento significativos, principalmente quando é erosivo.;
4A43.3;Doença mista do tecido conjuntivo;1;Doença mista do tecido conjuntivo é uma síndrome de sobreposição que combina características de lúpus eritematoso sistêmico, esclerose sistêmica e polimiosite com a presença de autoanticorpos para U1-ribonucleoproteína (RNP-U1). O fenômeno de Raynaud é visto em quase todos os pacientes e a hipertensão arterial pulmonar é a causa mais comum de morte em pacientes com DMTC.;
EA35.0;Não encontrado;1;;
ME62.9;Escoriação cutânea aguda;1;Diagnóstico provisório de erupção cutânea de natureza desconhecida ou incerta, que surge abruptamente e que consiste em múltiplas escoriações. Na maioria dos casos, a escoriação é secundária ao prurido intenso decorrente de um transtornos sistêmico subjacente, como icterícia colestática, ou de uma doença cutânea pruriginosa, como eczema. Em alguns casos, entretanto, fatores psicogênicos podem ser responsáveis.;EA11 - Síndrome pápulo-purpúrica em 'luvas e meias' (1x) | EH40.02 - Dermatite psoriasiforme da área de fraldas (1x) | ME63.2 - Dermatose papulosa crônica (1x)
